"code","site","site_type","latitude","longitude","variable","Parameter_name","start_date","end_date","zone","agglomeration","provider","pcode","source"
"BQ7","Bexley - Belvedere West","Urban Background",51.494649,0.137279,"PM2.5","PM2.5 particulate matter (Hourly measured)",2010-09-02,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BQ8","Bexley - Belvedere West FDMS","Urban Background",51.494649,0.137279,"PM10","PM10 particulate matter (Hourly measured)",2010-08-25,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BX4","Bexley - Erith","Urban Industrial",51.477671,0.190836,"NO2","Nitrogen dioxide",2001-07-06,"2014-12-19","Greater London","Greater London Urban Area","Londonair","london","local"
"BX4","Bexley - Erith","Urban Industrial",51.477671,0.190836,"PM10","PM10 particulate matter (Hourly measured)",1999-05-03,"2014-12-07","Greater London","Greater London Urban Area","Londonair","london","local"
"BX4","Bexley - Erith","Urban Industrial",51.477671,0.190836,"PM2.5","PM2.5 particulate matter (Hourly measured)",2009-10-23,"2014-10-25","Greater London","Greater London Urban Area","Londonair","london","local"
"BX7","Bexley - Thames Road North","Urban Traffic",51.457159,0.195294,"O3","Ozone",2004-06-10,"2010-03-23","Greater London","Greater London Urban Area","Londonair","london","local"
"BX7","Bexley - Thames Road North","Urban Traffic",51.457159,0.195294,"NO2","Nitrogen dioxide",2004-04-08,"2010-03-23","Greater London","Greater London Urban Area","Londonair","london","local"
"BX7","Bexley - Thames Road North","Urban Traffic",51.457159,0.195294,"PM10","PM10 particulate matter (Hourly measured)",2004-04-08,"2010-03-23","Greater London","Greater London Urban Area","Londonair","london","local"
"BX7","Bexley - Thames Road North","Urban Traffic",51.457159,0.195294,"PM2.5","PM2.5 particulate matter (Hourly measured)",2004-04-08,"2010-03-23","Greater London","Greater London Urban Area","Londonair","london","local"
"BX6","Bexley - Thames Road North FDMS","Urban Traffic",51.457159,0.195294,"PM10","PM10 particulate matter (Hourly measured)",2004-04-08,"2010-03-23","Greater London","Greater London Urban Area","Londonair","london","local"
"BX8","Bexley - Thames Road South","Urban Traffic",51.456887,0.194582,"O3","Ozone",2004-06-10,"2010-04-15","Greater London","Greater London Urban Area","Londonair","london","local"
"BX8","Bexley - Thames Road South","Urban Traffic",51.456887,0.194582,"NO2","Nitrogen dioxide",2004-04-06,"2010-04-15","Greater London","Greater London Urban Area","Londonair","london","local"
"BX8","Bexley - Thames Road South","Urban Traffic",51.456887,0.194582,"PM10","PM10 particulate matter (Hourly measured)",2004-04-06,"2010-04-15","Greater London","Greater London Urban Area","Londonair","london","local"
"BX8","Bexley - Thames Road South","Urban Traffic",51.456887,0.194582,"PM2.5","PM2.5 particulate matter (Hourly measured)",2004-04-06,"2010-04-12","Greater London","Greater London Urban Area","Londonair","london","local"
"BX3","Bexley - Thamesmead","Suburban Background",51.510808,0.121617,"PM10","PM10 particulate matter (Hourly measured)",1998-01-24,"2003-02-20","Greater London","Greater London Urban Area","Londonair","london","local"
"BX3","Bexley - Thamesmead","Suburban Background",51.510808,0.121617,"PM2.5","PM2.5 particulate matter (Hourly measured)",1998-01-24,"2018-03-12","Greater London","Greater London Urban Area","Londonair","london","local"
"BT8","Brent - ARK Franklin Primary Academy","unknown unknown",51.532405,-0.217719,"NO2","Nitrogen dioxide",2017-10-30,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BT8","Brent - ARK Franklin Primary Academy","unknown unknown",51.532405,-0.217719,"PM10","PM10 particulate matter (Hourly measured)",2017-11-15,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BT3","Brent - Harlesden","Urban Traffic",51.53708,-0.249273,"NO2","Nitrogen dioxide",2001-10-31,"2006-09-26","Greater London","Greater London Urban Area","Londonair","london","local"
"BT3","Brent - Harlesden","Urban Traffic",51.53708,-0.249273,"SO2","Sulphur dioxide",2001-10-31,"2006-09-27","Greater London","Greater London Urban Area","Londonair","london","local"
"BT3","Brent - Harlesden","Urban Traffic",51.53708,-0.249273,"PM10","PM10 particulate matter (Hourly measured)",2001-10-31,"2006-09-27","Greater London","Greater London Urban Area","Londonair","london","local"
"BT4","Brent - Ikea","Urban Traffic",51.552476,-0.258089,"O3","Ozone",2006-05-25,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BT4","Brent - Ikea","Urban Traffic",51.552476,-0.258089,"NO2","Nitrogen dioxide",2003-07-16,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BT4","Brent - Ikea","Urban Traffic",51.552476,-0.258089,"SO2","Sulphur dioxide",2003-06-26,"2011-11-01","Greater London","Greater London Urban Area","Londonair","london","local"
"BT4","Brent - Ikea","Urban Traffic",51.552476,-0.258089,"PM10","PM10 particulate matter (Hourly measured)",2003-06-20,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BT2","Brent - Ikea Car Park","Urban Traffic",51.552433,-0.260339,"NO2","Nitrogen dioxide",2001-06-29,"2002-09-04","Greater London","Greater London Urban Area","Londonair","london","local"
"BT2","Brent - Ikea Car Park","Urban Traffic",51.552433,-0.260339,"SO2","Sulphur dioxide",2001-06-23,"2002-09-04","Greater London","Greater London Urban Area","Londonair","london","local"
"BT2","Brent - Ikea Car Park","Urban Traffic",51.552433,-0.260339,"PM10","PM10 particulate matter (Hourly measured)",2001-06-23,"2002-09-04","Greater London","Greater London Urban Area","Londonair","london","local"
"BT6","Brent - John Keble Primary School","Urban Traffic",51.537799,-0.247793,"NO2","Nitrogen dioxide",2006-11-20,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BT6","Brent - John Keble Primary School","Urban Traffic",51.537799,-0.247793,"SO2","Sulphur dioxide",2006-11-20,"2012-05-16","Greater London","Greater London Urban Area","Londonair","london","local"
"BT6","Brent - John Keble Primary School","Urban Traffic",51.537799,-0.247793,"PM10","PM10 particulate matter (Hourly measured)",2006-11-21,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BT5","Brent - Neasden Lane","Urban Industrial",51.552656,-0.248774,"NO2","Nitrogen dioxide",2004-03-01,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BT5","Brent - Neasden Lane","Urban Industrial",51.552656,-0.248774,"PM10","PM10 particulate matter (Hourly measured)",2004-03-01,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"BT7","Brent - St Marys Primary School","Urban Background",51.534718,-0.196664,"NO2","Nitrogen dioxide",2008-02-12,"2010-12-20","Greater London","Greater London Urban Area","Londonair","london","local"
"BT7","Brent - St Marys Primary School","Urban Background",51.534718,-0.196664,"PM10","PM10 particulate matter (Hourly measured)",2008-02-12,"2010-12-20","Greater London","Greater London Urban Area","Londonair","london","local"
"BY1","Bromley - Rent Office","Urban Background",51.413234,0.007215,"NO2","Nitrogen dioxide",1993-01-01,"1996-01-11","Greater London","Greater London Urban Area","Londonair","london","local"
"BY1","Bromley - Rent Office","Urban Background",51.413234,0.007215,"CO","Carbon monoxide",1993-05-14,"1996-01-11","Greater London","Greater London Urban Area","Londonair","london","local"
"BY4","Bromley - Tweedy Rd","Urban Traffic",51.403835,0.02039,"NO2","Nitrogen dioxide",1996-01-28,"1998-07-06","Greater London","Greater London Urban Area","Londonair","london","local"
"BY4","Bromley - Tweedy Rd","Urban Traffic",51.403835,0.02039,"CO","Carbon monoxide",1996-01-28,"1998-06-23","Greater London","Greater London Urban Area","Londonair","london","local"
"HB102","Broxbourne","Urban Traffic",51.683056,-0.0325,"NO2","Nitrogen dioxide",2001-09-13,"2009-04-01","Greater London","Greater London Urban Area","Hertfordshire and Bedfordshire Air Quality Network ","aqengland","local"
"HB102","Broxbourne","Urban Traffic",51.683056,-0.0325,"PM10","PM10 particulate matter (Hourly measured)",2001-09-13,"2009-04-01","Greater London","Greater London Urban Area","Hertfordshire and Bedfordshire Air Quality Network ","aqengland","local"
"CT4","City of London - Beech Street","Urban Traffic",51.520225,-0.096106,"NO2","Nitrogen dioxide",2003-01-01,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CT4","City of London - Beech Street","Urban Traffic",51.520225,-0.096106,"PM10","PM10 particulate matter (Hourly measured)",2004-01-01,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CT2","City of London - Farringdon Street","Urban Traffic",51.514525,-0.104516,"NO2","Nitrogen dioxide",2003-01-01,"2006-09-30","Greater London","Greater London Urban Area","Londonair","london","local"
"CT2","City of London - Farringdon Street","Urban Traffic",51.514525,-0.104516,"PM10","PM10 particulate matter (Hourly measured)",2004-01-01,"2006-09-30","Greater London","Greater London Urban Area","Londonair","london","local"
"CT1","City of London - Senator House","Urban Background",51.511491,-0.095807,"O3","Ozone",2001-10-10,"2012-08-31","Greater London","Greater London Urban Area","Londonair","london","local"
"CT1","City of London - Senator House","Urban Background",51.511491,-0.095807,"NO2","Nitrogen dioxide",2001-10-10,"2013-01-16","Greater London","Greater London Urban Area","Londonair","london","local"
"CT1","City of London - Senator House","Urban Background",51.511491,-0.095807,"SO2","Sulphur dioxide",2001-10-10,"2013-01-16","Greater London","Greater London Urban Area","Londonair","london","local"
"CT3","City of London - Sir John Cass School","Urban Background",51.513847,-0.077766,"NO2","Nitrogen dioxide",2003-01-01,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CT3","City of London - Sir John Cass School","Urban Background",51.513847,-0.077766,"PM10","PM10 particulate matter (Hourly measured)",2003-06-02,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CT8","City of London - Upper Thames Street","Urban Traffic",51.509544,-0.087357,"PM10","PM10 particulate matter (Hourly measured)",2007-06-04,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CT6","City of London - Walbrook Wharf","Urban Traffic",51.510499,-0.091634,"O3","Ozone",2010-06-04,"2013-01-31","Greater London","Greater London Urban Area","Londonair","london","local"
"CT6","City of London - Walbrook Wharf","Urban Traffic",51.510499,-0.091634,"NO2","Nitrogen dioxide",2007-05-22,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CR6","Croydon - Euston Road","Suburban Background",51.378698,-0.113796,"NO2","Nitrogen dioxide",2001-01-26,"2009-05-10","Greater London","Greater London Urban Area","Londonair","london","local"
"CR4","Croydon - George Street","Urban Traffic",51.374312,-0.096503,"NO2","Nitrogen dioxide",1999-11-21,"2014-12-28","Greater London","Greater London Urban Area","Londonair","london","local"
"CR4","Croydon - George Street","Urban Traffic",51.374312,-0.096503,"SO2","Sulphur dioxide",1999-09-20,"2006-05-10","Greater London","Greater London Urban Area","Londonair","london","local"
"CR4","Croydon - George Street","Urban Traffic",51.374312,-0.096503,"PM10","PM10 particulate matter (Hourly measured)",1999-09-20,"2015-04-02","Greater London","Greater London Urban Area","Londonair","london","local"
"CR5","Croydon - Norbury","Urban Traffic",51.411349,-0.12311,"NO2","Nitrogen dioxide",2000-10-06,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CR9","Croydon - Park Lane","Urban Traffic",51.373953,-0.096764,"NO2","Nitrogen dioxide",2015-11-07,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CR9","Croydon - Park Lane","Urban Traffic",51.373953,-0.096764,"PM10","PM10 particulate matter (Hourly measured)",2015-11-02,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CR2","Croydon - Purley Way","Urban Traffic",51.362638,-0.117952,"NO2","Nitrogen dioxide",1994-08-10,"2010-10-08","Greater London","Greater London Urban Area","Londonair","london","local"
"CR7","Croydon - Purley Way A23","Urban Traffic",51.362231,-0.117605,"NO2","Nitrogen dioxide",2012-01-19,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"CR3","Croydon - Thornton Heath","Suburban Background",51.40401,-0.098814,"O3","Ozone",1997-06-13,"2013-02-08","Greater London","Greater London Urban Area","Londonair","london","local"
"CR3","Croydon - Thornton Heath","Suburban Background",51.40401,-0.098814,"PM10","PM10 particulate matter (Hourly measured)",1997-07-02,"2013-02-08","Greater London","Greater London Urban Area","Londonair","london","local"
"CY1","Crystal Palace - Crystal Palace Parade","Urban Traffic",51.424812,-0.075449,"NO2","Nitrogen dioxide",1999-09-30,"2010-07-29","Greater London","Greater London Urban Area","Londonair","london","local"
"CY1","Crystal Palace - Crystal Palace Parade","Urban Traffic",51.424812,-0.075449,"SO2","Sulphur dioxide",1999-09-29,"2010-07-29","Greater London","Greater London Urban Area","Londonair","london","local"
"CY1","Crystal Palace - Crystal Palace Parade","Urban Traffic",51.424812,-0.075449,"CO","Carbon monoxide",1999-09-29,"2010-07-29","Greater London","Greater London Urban Area","Londonair","london","local"
"CY1","Crystal Palace - Crystal Palace Parade","Urban Traffic",51.424812,-0.075449,"PM10","PM10 particulate matter (Hourly measured)",1999-09-29,"2010-07-24","Greater London","Greater London Urban Area","Londonair","london","local"
"HB104","Dacorum Hemel Hempstead 1","Urban Background",51.755278,-0.473611,"O3","Ozone",1996-04-15,"2003-04-09","Greater London","Greater London Urban Area","Hertfordshire and Bedfordshire Air Quality Network ","aqengland","local"
"HB104","Dacorum Hemel Hempstead 1","Urban Background",51.755278,-0.473611,"NO2","Nitrogen dioxide",1996-04-15,"2003-04-09","Greater London","Greater London Urban Area","Hertfordshire and Bedfordshire Air Quality Network ","aqengland","local"
"HB104","Dacorum Hemel Hempstead 1","Urban Background",51.755278,-0.473611,"PM10","PM10 particulate matter (Hourly measured)",1996-04-15,"2003-04-09","Greater London","Greater London Urban Area","Hertfordshire and Bedfordshire Air Quality Network ","aqengland","local"
"HB105","Dacorum Hemel Hempstead 2","Urban Background",51.755278,-0.473611,"NO2","Nitrogen dioxide",2005-12-13,"2006-03-08","Greater London","Greater London Urban Area","Hertfordshire and Bedfordshire Air Quality Network ","aqengland","local"
"HB105","Dacorum Hemel Hempstead 2","Urban Background",51.755278,-0.473611,"PM10","PM10 particulate matter (Hourly measured)",2005-12-13,"2006-03-08","Greater London","Greater London Urban Area","Hertfordshire and Bedfordshire Air Quality Network ","aqengland","local"
"ZR2","Dartford Town Centre Roadside","Urban Traffic",51.442696,0.216186,"NO2","Nitrogen dioxide",2002-11-19,"ongoing","Greater London","Greater London Urban Area","Londonair","kent","local"
"ZR2","Dartford Town Centre Roadside","Urban Traffic",51.442696,0.216186,"PM10","PM10 particulate matter (Hourly measured)",2002-11-05,"ongoing","Greater London","Greater London Urban Area","Londonair","kent","local"
"EA2","Ealing - Acton Town Hall","Urban Traffic",51.506628,-0.267934,"O3","Ozone",2005-05-11,"2011-12-29","Greater London","Greater London Urban Area","Londonair","london","local"
"EA2","Ealing - Acton Town Hall","Urban Traffic",51.506628,-0.267934,"NO2","Nitrogen dioxide",1996-09-09,"2012-01-17","Greater London","Greater London Urban Area","Londonair","london","local"
"EA2","Ealing - Acton Town Hall","Urban Traffic",51.506628,-0.267934,"CO","Carbon monoxide",1996-09-11,"2011-12-29","Greater London","Greater London Urban Area","Londonair","london","local"
"EA2","Ealing - Acton Town Hall","Urban Traffic",51.506628,-0.267934,"PM10","PM10 particulate matter (Hourly measured)",1998-03-17,"2012-01-16","Greater London","Greater London Urban Area","Londonair","london","local"
"EA2","Ealing - Acton Town Hall","Urban Traffic",51.506628,-0.267934,"PM2.5","PM2.5 particulate matter (Hourly measured)",1996-09-09,"2011-12-31","Greater London","Greater London Urban Area","Londonair","london","local"
"EG1","Ealing - Acton Town Hall (Partisol)","Urban Traffic",51.506595,-0.267964,"PM2.5","PM2.5 particulate matter (Hourly measured)",2005-10-04,"2006-10-02","Greater London","Greater London Urban Area","Londonair","london","local"
"EA0","Ealing - Acton Town Hall FDMS","Urban Traffic",51.506628,-0.267934,"PM10","PM10 particulate matter (Hourly measured)",2005-09-09,"2011-12-29","Greater London","Greater London Urban Area","Londonair","london","local"
"EI3","Ealing - Acton Vale ","unknown unknown",51.503853,-0.254668,"NO2","Nitrogen dioxide",2017-11-23,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EI3","Ealing - Acton Vale ","unknown unknown",51.503853,-0.254668,"PM10","PM10 particulate matter (Hourly measured)",2018-01-18,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EA9","Ealing - Court Way","Urban Traffic",51.522565,-0.264922,"NO2","Nitrogen dioxide",2005-04-19,"2006-05-30","Greater London","Greater London Urban Area","Londonair","london","local"
"EA1","Ealing - Ealing Town Hall","Urban Background",51.513323,-0.307529,"O3","Ozone",1995-03-14,"2012-01-10","Greater London","Greater London Urban Area","Londonair","london","local"
"EA1","Ealing - Ealing Town Hall","Urban Background",51.513323,-0.307529,"NO2","Nitrogen dioxide",1995-03-16,"2012-01-10","Greater London","Greater London Urban Area","Londonair","london","local"
"EA1","Ealing - Ealing Town Hall","Urban Background",51.513323,-0.307529,"SO2","Sulphur dioxide",1995-03-28,"2012-01-10","Greater London","Greater London Urban Area","Londonair","london","local"
"EA1","Ealing - Ealing Town Hall","Urban Background",51.513323,-0.307529,"CO","Carbon monoxide",1995-03-14,"1996-09-10","Greater London","Greater London Urban Area","Londonair","london","local"
"EI0","Ealing - Greenford","Urban Background",51.54393,-0.352802,"PM10","PM10 particulate matter (Hourly measured)",2008-03-26,"2009-04-15","Greater London","Greater London Urban Area","Londonair","london","local"
"EA6","Ealing - Hanger Lane Gyratory","Urban Traffic",51.53085,-0.292488,"NO2","Nitrogen dioxide",2003-12-11,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EA6","Ealing - Hanger Lane Gyratory","Urban Traffic",51.53085,-0.292488,"PM10","PM10 particulate matter (Hourly measured)",2011-01-13,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EA7","Ealing - Southall","Urban Background",51.508549,-0.392179,"O3","Ozone",2012-01-10,"2016-01-22","Greater London","Greater London Urban Area","Londonair","london","local"
"EA7","Ealing - Southall","Urban Background",51.508549,-0.392179,"NO2","Nitrogen dioxide",2004-09-16,"2016-01-22","Greater London","Greater London Urban Area","Londonair","london","local"
"EA7","Ealing - Southall","Urban Background",51.508549,-0.392179,"PM10","PM10 particulate matter (Hourly measured)",2004-07-13,"2016-01-17","Greater London","Greater London Urban Area","Londonair","london","local"
"EA7","Ealing - Southall","Urban Background",51.508549,-0.392179,"PM2.5","PM2.5 particulate matter (Hourly measured)",2012-01-17,"2014-01-14","Greater London","Greater London Urban Area","Londonair","london","local"
"EI7","Ealing - Southall FDMS","Urban Background",51.508516,-0.392208,"PM10","PM10 particulate matter (Hourly measured)",2011-12-29,"2014-01-14","Greater London","Greater London Urban Area","Londonair","london","local"
"EI7","Ealing - Southall FDMS","Urban Background",51.508516,-0.392208,"PM2.5","PM2.5 particulate matter (Hourly measured)",2014-01-14,"2016-01-22","Greater London","Greater London Urban Area","Londonair","london","local"
"EI2","Ealing - Southall Railway","Urban Traffic",51.50587,-0.380241,"NO2","Nitrogen dioxide",2011-04-08,"2014-01-06","Greater London","Greater London Urban Area","Londonair","london","local"
"EI2","Ealing - Southall Railway","Urban Traffic",51.50587,-0.380241,"PM10","PM10 particulate matter (Hourly measured)",2011-04-08,"2014-01-06","Greater London","Greater London Urban Area","Londonair","london","local"
"EI1","Ealing - Western Avenue","Urban Traffic",51.523608,-0.265503,"NO2","Nitrogen dioxide",2010-03-19,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EI1","Ealing - Western Avenue","Urban Traffic",51.523608,-0.265503,"PM10","PM10 particulate matter (Hourly measured)",2011-01-01,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EL1","Elmbridge - Bell Farm Hersham","unknown unknown",51.372348,-0.400919,"O3","Ozone",2001-01-01,"2009-04-06","Greater London","Greater London Urban Area","Londonair","london","local"
"EL1","Elmbridge - Bell Farm Hersham","unknown unknown",51.372348,-0.400919,"NO2","Nitrogen dioxide",2001-01-01,"2009-04-06","Greater London","Greater London Urban Area","Londonair","london","local"
"EL1","Elmbridge - Bell Farm Hersham","unknown unknown",51.372348,-0.400919,"SO2","Sulphur dioxide",2001-01-01,"2009-04-06","Greater London","Greater London Urban Area","Londonair","london","local"
"EL1","Elmbridge - Bell Farm Hersham","unknown unknown",51.372348,-0.400919,"CO","Carbon monoxide",2001-01-01,"2009-04-06","Greater London","Greater London Urban Area","Londonair","london","local"
"EL1","Elmbridge - Bell Farm Hersham","unknown unknown",51.372348,-0.400919,"PM10","PM10 particulate matter (Hourly measured)",2001-01-01,"2009-04-06","Greater London","Greater London Urban Area","Londonair","london","local"
"EL2","Elmbridge - Esher High Street","unknown unknown",51.370723,-0.363321,"NO2","Nitrogen dioxide",2005-09-20,"2008-07-18","Greater London","Greater London Urban Area","Londonair","london","local"
"EL3","Elmbridge - Hampton Court Parade","unknown unknown",51.401915,-0.343317,"NO2","Nitrogen dioxide",2007-08-30,"2009-04-08","Greater London","Greater London Urban Area","Londonair","london","local"
"EL4","Elmbridge - Walton High Street","unknown unknown",51.385533,-0.418942,"NO2","Nitrogen dioxide",2008-07-18,"2009-04-08","Greater London","Greater London Urban Area","Londonair","london","local"
"EL3","Elmbridge Hampton Court Parade","Urban Traffic",51.401944,-0.343333,"NO2","Nitrogen dioxide",2007-08-30,"2009-04-08","Greater London","Greater London Urban Area","UK Air Quality","aqdm","local"
"EL5","Elmbridge Weybridge High St","Urban Traffic",51.373333,-0.4575,"NO2","Nitrogen dioxide",2010-10-08,"2020-02-01","Greater London","Greater London Urban Area","UK Air Quality","aqdm","local"
"EL6","Elmbridge Weybridge High St 2","Urban Traffic",51.374333,-0.4585,"NO2","Nitrogen dioxide",2019-09-09,"ongoing","Greater London","Greater London Urban Area","UK Air Quality","aqdm","local"
"EN5","Enfield - Bowes Primary School","Urban Traffic",51.613865,-0.125338,"NO2","Nitrogen dioxide",2008-09-22,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EN5","Enfield - Bowes Primary School","Urban Traffic",51.613865,-0.125338,"PM10","PM10 particulate matter (Hourly measured)",2004-07-22,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EN1","Enfield - Bush Hill Park","Suburban Background",51.645037,-0.06618,"NO2","Nitrogen dioxide",1995-06-29,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EN2","Enfield - Church Street","Urban Traffic",51.652436,-0.084225,"NO2","Nitrogen dioxide",1998-01-01,"2006-09-14","Greater London","Greater London Urban Area","Londonair","london","local"
"EN2","Enfield - Church Street","Urban Traffic",51.652436,-0.084225,"CO","Carbon monoxide",1997-12-31,"2006-09-14","Greater London","Greater London Urban Area","Londonair","london","local"
"EN2","Enfield - Church Street","Urban Traffic",51.652436,-0.084225,"PM10","PM10 particulate matter (Hourly measured)",1998-03-12,"2006-09-14","Greater London","Greater London Urban Area","Londonair","london","local"
"EN4","Enfield - Derby Road","Urban Traffic",51.614864,-0.050766,"NO2","Nitrogen dioxide",2000-03-07,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EN4","Enfield - Derby Road","Urban Traffic",51.614864,-0.050766,"SO2","Sulphur dioxide",2000-03-19,"2018-07-30","Greater London","Greater London Urban Area","Londonair","london","local"
"EN4","Enfield - Derby Road","Urban Traffic",51.614864,-0.050766,"PM10","PM10 particulate matter (Hourly measured)",2000-02-29,"2016-03-10","Greater London","Greater London Urban Area","Londonair","london","local"
"EN7","Enfield - Prince of Wales School","Urban Background",51.668643,-0.022007,"NO2","Nitrogen dioxide",2012-07-09,"ongoing","Greater London","Greater London Urban Area","Londonair","london","local"
"EN3","Enfield - Salisbury School","Urban Background",51.637479,-0.044246,"O3","Ozone",1998-11-17,"2008-07-28","Greater London","Greater London Urban Area","Londonair","london","local"
"EN3","Enfield - Salisbury School","Urban Background",51.637479,-0.044246,"NO2","Nitrogen dioxide",1998-11-10,"2008-07-28","Greater London","Greater London Urban Area","Londonair","london","local"
"EN3","Enfield - Salisbury School","Urban Background",51.637479,-0.044246,"SO2","Sulphur dioxide",1998-11-05,"2008-07-28","Greater London","Greater London Urban Area","Londonair","london","local"
"EN3","Enfield - Salisbury School","Urban Background",51.637479,-0.044246,"CO","Carbon monoxide",1998-11-10,"2008-07-17","Greater London","Greater London Urban Area","Londonair","london","local"
"EN3","Enfield - Salisbury School","Urban Background",51.637479,-0.044246,"PM10","PM10 particulate matter (Hourly measured)",1998-11-03,"2008-07-28","Greater London","Greater London Urban Area","Londonair","london","local"
"ZG1","Gravesham Background","Urban Background",51.432159,0.345421,"NO2","Nitrogen dioxide",1997-04-25,"2001-08-24","Greater London","Greater London Urban Area","Kent and Medway Air Quality","kent","local"
